occupation,Total Records,Above 50K Count,Above 50K Rate
 Exec-managerial,6086,2908,47.78
 Prof-specialty,6172,2784,45.11
 Armed-Forces,15,5,33.33
 Protective-serv,983,308,31.33
 Tech-support,1446,420,29.05
 Sales,5504,1475,26.8
 Craft-repair,6112,1383,22.63
 Transport-moving,2355,481,20.42
 Adm-clerical,5611,768,13.69
 Machine-op-inspct,3022,372,12.31
 Farming-fishing,1490,173,11.61
 ?,2809,265,9.43
 Handlers-cleaners,2072,138,6.66
 Other-service,4923,204,4.14
 Priv-house-serv,242,3,1.24
